iter	RMSE
0	40.10857146
1	28.38579386
2	20.58063266
3	15.41034786
4	11.8686349
5	9.909152479
6	8.670947365
7	7.755197101
8	7.185660933
9	6.835854123
10	6.514953495
11	6.358948003
12	6.256882628
13	6.120426734
14	5.974191075
15	5.816190683
16	5.677366298
17	5.604200028
18	5.465454672
19	5.291773702
20	5.068427022
21	4.947544086
22	4.919860927
23	4.839984402
24	4.704998985
25	4.508458832
26	4.400375075
27	4.264409014
28	4.194056289
29	4.156464803
30	4.045895724
31	3.948472557
32	3.775059177
33	3.738312235
34	3.688296968
35	3.513058373
36	3.439852956
37	3.411624672
38	3.376028865
39	3.34187213
40	3.313894349
41	3.231690875
42	3.200947662
43	3.141039376
44	3.042153857
45	2.992811674
46	2.97061464
47	2.916037376
48	2.875683054
49	2.825136855
