iter	Passed	Remaining
0	46	46520
1	47	23472
2	47	15781
3	47	11948
4	48	9645
5	48	8104
6	49	7005
7	49	6183
8	50	5540
9	50	5034
10	51	4611
11	51	4258
12	52	3958
13	52	3702
14	53	3482
15	53	3288
16	53	3118
17	54	2964
18	54	2829
19	55	2705
20	55	2595
21	56	2494
22	56	2402
23	57	2318
24	57	2239
25	57	2165
26	58	2099
27	58	2036
28	59	1976
29	59	1921
30	59	1870
31	60	1822
32	60	1776
33	61	1734
34	61	1694
35	61	1656
36	62	1620
37	62	1586
38	63	1554
39	63	1529
40	64	1501
41	64	1473
42	65	1446
43	65	1422
44	65	1398
45	66	1376
46	66	1355
47	67	1334
48	67	1314
49	68	1294
50	68	1276
51	69	1258
52	69	1240
53	70	1226
54	70	1213
55	71	1202
56	71	1190
57	72	1178
58	73	1168
59	73	1156
60	74	1144
61	74	1132
62	75	1121
63	75	1106
64	76	1097
65	76	1087
66	77	1075
67	77	1065
68	78	1054
69	78	1043
70	79	1033
71	79	1023
72	79	1014
73	80	1004
74	80	995
75	81	985
76	81	977
77	81	968
78	82	960
79	82	951
80	83	943
81	83	935
82	83	927
83	84	920
84	84	913
85	85	906
86	85	899
87	86	894
88	86	887
89	87	880
90	87	874
91	87	868
92	88	862
93	88	856
94	89	851
95	89	846
96	90	841
97	91	837
98	91	833
99	92	829
100	92	824
101	93	819
102	93	813
103	93	808
104	94	804
105	94	799
106	95	794
107	95	789
108	96	785
109	96	781
110	97	777
111	97	773
112	97	768
113	98	764
114	98	760
115	99	756
116	99	752
117	100	748
118	100	744
119	100	740
120	101	737
121	102	735
122	102	731
123	103	728
124	103	726
125	104	724
126	104	721
127	105	718
128	106	716
129	106	713
130	107	711
131	107	709
132	108	707
133	109	705
134	109	702
135	110	699
136	110	696
137	111	694
138	111	692
139	112	691
140	113	689
141	113	687
142	114	686
143	115	684
144	115	682
145	116	680
146	117	678
147	117	677
148	118	675
149	118	673
150	119	672
151	120	670
152	120	668
153	121	667
154	122	665
155	122	663
156	123	662
157	124	660
158	124	659
159	125	657
160	125	655
161	126	654
162	127	652
163	127	651
164	128	649
165	128	647
166	129	646
167	130	644
168	130	642
169	131	641
170	132	640
171	132	638
172	133	637
173	133	635
174	134	634
175	135	632
176	135	630
177	136	628
178	136	626
179	136	623
180	137	621
181	137	619
182	138	617
183	138	615
184	139	613
185	139	611
186	140	609
187	140	607
188	141	605
189	141	603
190	142	601
191	142	600
192	143	598
193	143	597
194	144	596
195	145	595
196	145	593
197	146	592
198	146	590
199	147	588
200	147	586
201	147	584
202	148	582
203	148	580
204	149	579
205	149	577
206	150	575
207	150	573
208	150	571
209	151	569
210	151	568
211	152	566
212	152	564
213	153	563
214	153	561
215	154	560
216	154	558
217	155	556
218	155	554
219	156	553
220	156	551
221	156	549
222	157	548
223	157	546
224	158	544
225	158	543
226	159	541
227	159	540
228	160	538
229	160	537
230	160	535
231	161	534
232	161	532
233	162	531
234	162	529
235	163	528
236	163	526
237	164	525
238	164	523
239	164	522
240	165	520
241	165	519
242	166	517
243	166	516
244	167	514
245	167	513
246	167	511
247	168	510
248	168	509
249	169	508
250	169	506
251	170	504
252	170	503
253	170	502
254	171	500
255	171	499
256	172	498
257	172	496
258	173	495
259	173	494
260	174	493
261	174	491
262	175	490
263	175	489
264	175	488
265	176	486
266	176	485
267	177	484
268	177	482
269	178	481
270	178	479
271	178	478
272	179	477
273	179	475
274	180	474
275	180	473
276	180	472
277	181	470
278	181	469
279	182	468
280	182	467
281	182	465
282	183	464
283	183	463
284	184	462
285	184	460
286	185	459
287	185	458
288	186	457
289	186	456
290	186	455
291	187	454
292	187	452
293	188	451
294	188	450
295	188	449
296	189	448
297	189	447
298	190	445
299	190	444
300	191	443
301	191	442
302	191	441
303	192	440
304	192	438
305	192	437
306	193	436
307	193	435
308	194	434
309	194	433
310	195	432
311	195	431
312	196	430
313	196	429
314	196	428
315	197	427
316	197	426
317	198	425
318	198	424
319	199	423
320	199	422
321	200	421
322	200	420
323	200	419
324	201	418
325	201	417
326	202	415
327	202	415
328	203	414
329	203	413
330	203	412
331	204	411
332	204	410
333	205	409
334	205	408
335	206	407
336	206	406
337	206	405
338	207	404
339	207	403
340	208	402
341	208	401
342	209	400
343	209	400
344	210	399
345	210	398
346	211	397
347	211	396
348	212	395
349	212	394
350	212	393
351	213	392
352	213	391
353	214	390
354	214	389
355	215	389
356	215	388
357	215	387
358	216	386
359	216	385
360	217	384
361	217	383
362	217	382
363	218	381
364	218	380
365	219	379
366	219	378
367	219	377
368	220	376
369	220	376
370	221	375
371	221	374
372	222	373
373	222	372
374	222	371
375	223	370
376	223	369
377	224	368
378	224	367
379	224	366
380	225	365
381	225	365
382	226	364
383	226	363
384	226	362
385	227	361
386	227	360
387	228	359
388	228	358
389	228	358
390	229	357
391	229	356
392	230	355
393	230	354
394	231	353
395	231	353
396	231	352
397	232	351
398	232	350
399	233	349
400	233	348
401	233	348
402	234	347
403	234	346
404	235	345
405	235	344
406	236	343
407	236	343
408	236	342
409	237	341
410	237	340
411	238	339
412	238	339
413	239	338
414	239	337
415	239	336
416	240	335
417	240	335
418	241	334
419	241	333
420	242	332
421	242	332
422	242	331
423	243	330
424	243	329
425	244	329
426	244	328
427	245	327
428	245	326
429	246	326
430	246	325
431	246	324
432	247	323
433	247	323
434	248	322
435	248	321
436	249	320
437	249	320
438	250	319
439	250	318
440	251	318
441	251	317
442	251	316
443	252	316
444	252	315
445	253	314
446	253	313
447	253	312
448	254	312
449	254	311
450	255	310
451	255	309
452	256	309
453	256	308
454	256	307
455	257	306
456	257	306
457	258	305
458	258	304
459	258	303
460	259	303
461	259	302
462	259	301
463	260	300
464	260	300
465	261	299
466	261	298
467	262	297
468	262	297
469	263	296
470	263	296
471	264	295
472	264	294
473	264	293
474	265	293
475	265	292
476	266	291
477	266	291
478	266	290
479	267	289
480	267	288
481	268	288
482	268	287
483	268	286
484	269	286
485	269	285
486	270	284
487	270	283
488	270	283
489	271	282
490	271	281
491	272	281
492	272	280
493	273	279
494	273	279
495	274	278
496	274	277
497	274	277
498	275	276
499	275	275
500	276	275
501	276	274
502	277	273
503	277	273
504	277	272
505	278	271
506	278	271
507	279	270
508	279	269
509	280	269
510	280	268
511	280	267
512	281	267
513	281	266
514	282	265
515	282	265
516	283	264
517	283	263
518	284	263
519	284	262
520	285	262
521	286	261
522	286	261
523	287	261
524	288	260
525	288	260
526	289	259
527	290	259
528	290	258
529	291	258
530	291	257
531	292	257
532	293	256
533	293	256
534	294	256
535	295	255
536	295	255
537	296	254
538	297	254
539	297	253
540	298	253
541	299	252
542	299	252
543	300	251
544	301	251
545	301	251
546	302	250
547	303	250
548	303	249
549	304	249
550	305	248
551	305	248
552	306	247
